contest_id,date,election,state,seat,seat_type,seat_no,seat_name,seat_key,year,win_candidate_uid,win_name,win_party_uid,win_party,win_coalition_uid,win_coalition,win_votes,win_votes_perc,win_result,run_party_uid,run_party,run_coalition_uid,run_coalition,run_votes,run_votes_perc,voters_total,votes_valid,majority,n_candidates,voter_turnout,majority_perc,margin_perc,uncontested
1955-07-25|Johor|P.030 Johore Timor,1955-07-25,GE-00,Johor,P.030 Johore Timor,federal,030,Johore Timor,federal|Johor|johore timor,1955,KGXG0,Ismail bin Abdul Rahman,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,10800,94.7119179163378,won,008-NEG,NEG,000-ALONE,ALONE,350.0,3.0693677102516883,14155,11403,10450,3,82.8611797951254,91.64255020608611,91.64255020608611,False
1955-07-25|Johor|P.031 Johore Bahru,1955-07-25,GE-00,Johor,P.031 Johore Bahru,federal,031,Johore Bahru,federal|Johor|johore baru,1955,XSZPV,Suleiman bin Abdul Rahman,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,8745,75.73395687191478,won,008-NEG,NEG,000-ALONE,ALONE,2802.0,24.26604312808521,15042,11547,5943,2,77.61600850950671,51.46791374382956,51.46791374382957,False
1955-07-25|Johor|P.032 Johore Selatan,1955-07-25,GE-00,Johor,P.032 Johore Selatan,federal,032,Johore Selatan,federal|Johor|johore selatan,1955,4NBVD,Tan Luan Hong,003-MCA,MCA,001-PERIKATAN,PERIKATAN,21581,90.30084940792504,won,008-NEG,NEG,000-ALONE,ALONE,2318.0,9.699150592074982,29090,23899,19263,2,83.78136816775525,80.60169881585003,80.60169881585006,False
1955-07-25|Johor|P.033 Johore Tengah,1955-07-25,GE-00,Johor,P.033 Johore Tengah,federal,033,Johore Tengah,federal|Johor|johore tengah,1955,BGQZZ,Teo Chze Chong,003-MCA,MCA,001-PERIKATAN,PERIKATAN,7100,86.92458374142997,won,008-NEG,NEG,000-ALONE,ALONE,1068.0,13.07541625857003,11737,8168,6032,2,71.73042515123115,73.84916748285994,73.84916748285994,False
1955-07-25|Johor|P.034 Batu Pahat,1955-07-25,GE-00,Johor,P.034 Batu Pahat,federal,034,Batu Pahat,federal|Johor|batu pahat,1955,JC44H,S. Chelvasingam Macintyre,002-MIC,MIC,001-PERIKATAN,PERIKATAN,18968,87.47060179847821,won,008-NEG,NEG,000-ALONE,ALONE,2717.0,12.529398201521788,27323,21685,16251,2,80.43772645756323,74.94120359695641,74.94120359695643,False
1955-07-25|Johor|P.035 Muar Selatan,1955-07-25,GE-00,Johor,P.035 Muar Selatan,federal,035,Muar Selatan,federal|Johor|muar selatan,1955,S7G93,Tan Suan Kok,003-MCA,MCA,001-PERIKATAN,PERIKATAN,23580,85.16324761629586,won,008-NEG,NEG,000-ALONE,ALONE,4108.0,14.836752383704132,34321,27688,19472,2,81.62058215086972,70.32649523259174,70.32649523259172,False
1955-07-25|Johor|P.036 Muar Utara,1955-07-25,GE-00,Johor,P.036 Muar Utara,federal,036,Muar Utara,federal|Johor|muar utara,1955,02WDN,Hassan bin Yunus,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,19802,84.53361792956244,won,008-NEG,NEG,000-ALONE,ALONE,3623.0,15.466382070437568,29272,23425,16179,2,82.08868543317847,69.06723585912486,69.06723585912488,False
1955-07-25|Johor|P.037 Segamat,1955-07-25,GE-00,Johor,P.037 Segamat,federal,037,Segamat,federal|Johor|segamat,1955,6Y8J7,Sardon bin Jubir,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,11072,81.89954878319402,won,008-NEG,NEG,000-ALONE,ALONE,2447.0,18.100451216805972,17482,13519,8625,2,79.61903672348701,63.79909756638804,63.79909756638805,False
1955-07-25|Kedah|P.038 Alor Star,1955-07-25,GE-00,Kedah,P.038 Alor Star,federal,038,Alor Star,federal|Kedah|alor star,1955,DSMPS,Lee Thean Hin,003-MCA,MCA,001-PERIKATAN,PERIKATAN,27897,93.98942084161584,won,008-NEG,NEG,000-ALONE,ALONE,1784.0,6.010579158384152,35261,29681,26113,2,85.53926434304189,87.9788416832317,87.97884168323169,False
1955-07-25|Kedah|P.039 Kota Star,1955-07-25,GE-00,Kedah,P.039 Kota Star,federal,039,Kota Star,federal|Kedah|kota star,1955,MN0VB,Tunku Kassim Ibni Almarhom Sultan Abdul Hamid,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,27357,92.65707027942422,won,008-NEG,NEG,000-ALONE,ALONE,2168.0,7.342929720575783,34043,29525,25189,2,88.56152512998267,85.31414055884842,85.31414055884844,False
