seat_key,seat_type,state,current_name,current_seat,names,n_names,first_year,last_year,n_contests,still_current
federal|Johor|ayer hitam,federal,Johor,Ayer Hitam,P.148 Ayer Hitam,Ayer Hitam,1,1974,2022,8,True
federal|Johor|bakri,federal,Johor,Bakri,P.145 Bakri,Bakri,1,1986,2022,9,True
federal|Johor|batu pahat,federal,Johor,Batu Pahat,P.150 Batu Pahat,Batu Pahat,1,1955,2022,17,True
federal|Johor|batu pahat dalam,federal,Johor,Batu Pahat Dalam,P.094 Batu Pahat Dalam,Batu Pahat Dalam,1,1959,1969,3,False
federal|Johor|gelang patah,federal,Johor,Gelang Patah,P.162 Gelang Patah,Gelang Patah,1,1995,2013,5,False
federal|Johor|iskandar puteri,federal,Johor,Iskandar Puteri,P.162 Iskandar Puteri,Iskandar Puteri,1,2018,2022,2,True
federal|Johor|johor baru,federal,Johor,Johor Bahru,P.160 Johor Bahru,Johor Bahru,1,1974,2022,13,True
federal|Johor|johore baru,federal,Johor,Johore Bahru,P.031 Johore Bahru,Johore Bahru,1,1955,1955,1,False
federal|Johor|johore baru barat,federal,Johor,Johore Bahru Barat,P.101 Johore Bahru Barat,Johore Bahru Barat,1,1959,1969,3,False
federal|Johor|johore baru timor,federal,Johor,Johore Bahru Timor,P.100 Johore Bahru Timor,Johore Bahru Timor,1,1959,1969,3,False
federal|Johor|johore selatan,federal,Johor,Johore Selatan,P.032 Johore Selatan,Johore Selatan,1,1955,1955,1,False
federal|Johor|johore tengah,federal,Johor,Johore Tengah,P.033 Johore Tengah,Johore Tengah,1,1955,1955,1,False
federal|Johor|johore tenggara,federal,Johor,Johore Tenggara,P.096 Johore Tenggara,Johore Tenggara,1,1959,1969,3,False
federal|Johor|johore timor,federal,Johor,Johore Timor,P.102 Johore Timor,Johore Timor,1,1955,1973,5,False
federal|Johor|keluang,federal,Johor,Keluang,P.101 Keluang,Keluang,1,1974,1982,3,False
federal|Johor|kluang,federal,Johor,Kluang,P.152 Kluang,Kluang,1,1986,2022,9,True
federal|Johor|kluang selatan,federal,Johor,Kluang Selatan,P.099 Kluang Selatan,Kluang Selatan,1,1959,1969,3,False
federal|Johor|kluang utara,federal,Johor,Kluang Utara,P.095 Kluang Utara,Kluang Utara,1,1959,1969,3,False
federal|Johor|kota tinggi,federal,Johor,Kota Tinggi,P.156 Kota Tinggi,Kota Tinggi,1,1986,2022,9,True
federal|Johor|kulai,federal,Johor,Kulai,P.163 Kulai,Kulai,1,2004,2022,5,True
federal|Johor|labis,federal,Johor,Labis,P.142 Labis,Labis,1,1974,2022,12,True
federal|Johor|ledang,federal,Johor,Ledang,P.144 Ledang,Ledang,1,1974,2022,12,True
federal|Johor|mersing,federal,Johor,Mersing,P.154 Mersing,Mersing,1,1986,2022,9,True
federal|Johor|muar,federal,Johor,Muar,P.146 Muar,Muar,1,1974,2022,12,True
federal|Johor|muar dalam,federal,Johor,Muar Dalam,P.089 Muar Dalam,Muar Dalam,1,1959,1969,3,False
federal|Johor|muar pantai,federal,Johor,Muar Pantai,P.091 Muar Pantai,Muar Pantai,1,1959,1969,3,False
federal|Johor|muar selatan,federal,Johor,Muar Selatan,P.092 Muar Selatan,Muar Selatan,1,1955,1969,5,False
federal|Johor|muar utara,federal,Johor,Muar Utara,P.104 Muar Utara,Muar Utara,1,1955,1969,4,False
federal|Johor|pagoh,federal,Johor,Pagoh,P.143 Pagoh,Pagoh,1,1974,2022,12,True
federal|Johor|panti,federal,Johor,Panti,P.108 Panti,Panti,1,1974,1982,4,False
federal|Johor|parit sulong,federal,Johor,Parit Sulong,P.147 Parit Sulong,Parit Sulong,1,1986,2022,9,True
federal|Johor|pasir gudang,federal,Johor,Pasir Gudang,P.159 Pasir Gudang,Pasir Gudang,1,2004,2022,5,True
federal|Johor|pengerang,federal,Johor,Pengerang,P.157 Pengerang,Pengerang,1,2004,2022,5,True
federal|Johor|pontian,federal,Johor,Pontian,P.164 Pontian,Pontian,1,1974,2022,13,True
federal|Johor|pontian selatan,federal,Johor,Pontian Selatan,P.098 Pontian Selatan,Pontian Selatan,1,1959,1969,3,False
federal|Johor|pontian utara,federal,Johor,Pontian Utara,P.097 Pontian Utara,Pontian Utara,1,1959,1969,3,False
federal|Johor|pulai,federal,Johor,Pulai,P.161 Pulai,Pulai,1,1974,2023,13,False
federal|Johor|renggam,federal,Johor,Renggam,P.107 Renggam,Renggam,1,1974,1982,3,False
federal|Johor|segamat,federal,Johor,Segamat,P.140 Segamat,Segamat,1,1955,2022,13,True
federal|Johor|segamat selatan,federal,Johor,Segamat Selatan,P.090 Segamat Selatan,Segamat Selatan,1,1959,1969,3,False
federal|Johor|segamat utara,federal,Johor,Segamat Utara,P.103 Segamat Utara,Segamat Utara,1,1959,1969,4,False
federal|Johor|sekijang,federal,Johor,Sekijang,P.141 Sekijang,Sekijang,1,2004,2022,5,True
federal|Johor|sembrong,federal,Johor,Sembrong,P.153 Sembrong,Sembrong,1,2004,2022,5,True
federal|Johor|semerah,federal,Johor,Semerah,P.110 Semerah,Semerah,1,1974,1982,3,False
federal|Johor|senai,federal,Johor,Senai,P.138 Senai,Senai,1,1986,1999,4,False
federal|Johor|simpang renggam,federal,Johor,Simpang Renggam,P.151 Simpang Renggam,Simpang Renggam,1,2004,2022,5,True
federal|Johor|sri gading,federal,Johor,Sri Gading,P.149 Sri Gading,Sri Gading,1,1974,2022,13,True
federal|Johor|sungai benut,federal,Johor,Sungai Benut,P.137 Sungai Benut,Sungai Benut,1,1986,1999,4,False
federal|Johor|tanjong piai,federal,Johor,Tanjong Piai,P.165 Tanjong Piai,Tanjong Piai,1,2004,2013,3,False
