date,election,state,seat,original,corrected,diff,diff_pct
1969-05-10,GE-03,Melaka,P.087 Malacca Utara,26088,25728,-360,-1.38
1969-05-10,GE-03,Johor,P.103 Segamat Utara,17193,17192,-1,-0.01
1970-07-04,GE-03,Sarawak,P.121 Bau-Lundu,13846,13844,-2,-0.01
1970-07-04,GE-03,Sarawak,P.123 Santubong,14359,14338,-21,-0.15
1970-07-04,GE-03,Sarawak,P.127 Simunjan,10058,10059,1,0.01
1970-07-04,GE-03,Sarawak,P.128 Batang Lupar,13864,13776,-88,-0.63
1970-07-04,GE-03,Sarawak,P.129 Lubok Antu,6875,6873,-2,-0.03
1970-07-04,GE-03,Sarawak,P.132 Sarikei,10430,10412,-18,-0.17
1970-07-04,GE-03,Sarawak,P.135 Rajang,11265,11258,-7,-0.06
1970-07-04,GE-03,Sarawak,P.137 Julau,5377,5286,-91,-1.69
1970-07-04,GE-03,Sarawak,P.139 Kapit,7983,7921,-62,-0.78
1970-07-04,GE-03,Sarawak,P.141 Bintulu,9427,9425,-2,-0.02
1970-07-04,GE-03,Sarawak,P.142 Miri-Subis,13178,13156,-22,-0.17
1970-07-04,GE-03,Sarawak,P.144 Limbang-Lawas,9494,9495,1,0.01
1974-08-24,GE-04,Terengganu,P.029 Ulu Nerus,18123,18051,-72,-0.4
1974-08-24,GE-04,Terengganu,P.030 Ulu Trengganu,18145,18144,-1,-0.01
1974-08-24,GE-04,Terengganu,P.032 Kuala Trengganu,22476,22446,-30,-0.13
1974-08-24,GE-04,Pulau Pinang,P.039 Nibong Tebal,21181,22181,1000,4.72
1974-08-24,GE-04,Pulau Pinang,P.041 Bukit Bendera,32829,32652,-177,-0.54
1974-08-24,GE-04,Pulau Pinang,P.043 Jelutong,35434,35560,126,0.36
1974-08-24,GE-04,Perak,P.049 Taiping,27522,27516,-6,-0.02
1974-08-24,GE-04,W.P. Kuala Lumpur,P.088 Sungai Besi,27336,27299,-37,-0.14
1974-08-24,GE-04,Negeri Sembilan,P.093 Telok Kemang,21364,20939,-425,-1.99
1978-07-08,GE-05,Terengganu,P.029 Ulu Nerus,21263,21232,-31,-0.15
1978-07-08,GE-05,Terengganu,P.033 Dungun,19927,19895,-32,-0.16
1978-07-08,GE-05,Perak,P.062 Telok Anson,26268,26118,-150,-0.57
1978-07-08,GE-05,Pahang,P.067 Kuantan,28354,28347,-7,-0.02
1978-07-08,GE-05,Pahang,P.070 Bentong,26358,26349,-9,-0.03
1982-04-22,GE-06,Kedah,P.012 Kuala Muda,30570,30560,-10,-0.03
1990-10-20,GE-08,Perak,P.051 Parit Buntar,29115,29205,90,0.31
1990-10-20,GE-08,W.P. Kuala Lumpur,P.102 Sungai Besi,58215,58315,100,0.17
1990-10-20,GE-08,Melaka,P.112 Batu Berendam,60864,60863,-1,-0.0
1995-04-24,GE-09,Perak,P.067 Gopeng,32078,32076,-2,-0.01
1995-04-24,GE-09,Pahang,P.083 Bentung,35563,35363,-200,-0.56
1999-11-29,GE-10,Pahang,P.078 Kuantan,52308,52290,-18,-0.03
1999-11-29,GE-10,Selangor,P.093 Hulu Langat,53557,53617,60,0.11
1999-11-29,GE-10,Sabah,P.151 Tanjong Aru,24027,24028,1,0.0
1999-11-29,GE-10,Sarawak,P.183 Kanowit,10710,10620,-90,-0.84
2004-03-21,GE-11,Pulau Pinang,P.053 Balik Pulau,29825,29885,60,0.2
2004-03-21,GE-11,Perak,P.067 Kuala Kangsar,20229,20184,-45,-0.22
1969-05-10,SE-03,Pahang,N.02 Dong,6155,6153,-2,-0.03
1969-05-10,SE-03,Pahang,N.03 Bandar Raub,5431,5434,3,0.06
1969-05-10,SE-03,Pahang,N.17 Triang,5532,5528,-4,-0.07
1969-05-10,SE-03,Pahang,N.18 Kuala Semantan,4104,4097,-7,-0.17
1969-05-10,SE-03,Pahang,N.20 Sanggang,4404,4380,-24,-0.54
1969-05-10,SE-01,Sarawak,N.01 Lundu,5454,5445,-9,-0.17
1969-05-10,SE-01,Sarawak,N.02 Bau,8392,8382,-10,-0.12
1969-05-10,SE-01,Sarawak,N.05 Semariang,6343,6335,-8,-0.13
1969-05-10,SE-01,Sarawak,N.06 Sekama,8019,8005,-14,-0.17
1969-05-10,SE-01,Sarawak,N.07 Sebandi,6638,6685,47,0.71
1969-05-10,SE-01,Sarawak,N.14 Gedong,4843,4839,-4,-0.08
1969-05-10,SE-01,Sarawak,N.15 Lingga-Sebuyau,6509,6484,-25,-0.38
1969-05-10,SE-01,Sarawak,N.16 Simanggang,7355,7290,-65,-0.88
1969-05-10,SE-01,Sarawak,N.19 Saribas,4616,4607,-9,-0.19
1969-05-10,SE-01,Sarawak,N.23 Kuala Rajang,5088,5087,-1,-0.02
1969-05-10,SE-01,Sarawak,N.28 Sibu Luar,6433,6418,-15,-0.23
1969-05-10,SE-01,Sarawak,N.29 Igan,6449,6416,-33,-0.51
1969-05-10,SE-01,Sarawak,N.31 Balingian,5238,5227,-11,-0.21
1969-05-10,SE-01,Sarawak,N.33 Pakan,2723,2724,1,0.04
1969-05-10,SE-01,Sarawak,N.34 Meluan,2654,2652,-2,-0.08
1969-05-10,SE-01,Sarawak,N.37 Song,4550,4507,-43,-0.95
1969-05-10,SE-01,Sarawak,N.38 Pelagus,3440,3415,-25,-0.73
1969-05-10,SE-01,Sarawak,N.42 Kemena,4702,4699,-3,-0.06
1969-05-10,SE-01,Sarawak,N.47 Limbang,4942,4938,-4,-0.08
