state,election_number,date
Malaysia,0,1955-07-25
Malaysia,1,1959-05-20
Malaysia,2,1964-04-25
Malaysia,3,1969-05-10
Malaysia,4,1974-08-24
Malaysia,5,1978-07-08
Malaysia,6,1982-04-22
Malaysia,7,1986-08-02
Malaysia,8,1990-10-20
Malaysia,9,1995-04-24
Malaysia,10,1999-11-29
Malaysia,11,2004-03-21
Malaysia,12,2008-03-08
Malaysia,13,2013-05-05
Malaysia,14,2018-05-09
Malaysia,15,2022-11-19
Johor,1,1959-05-20
Johor,2,1964-04-25
Johor,3,1969-05-10
Johor,4,1974-08-24
Johor,5,1978-07-08
Johor,6,1982-04-22
Johor,7,1986-08-02
Johor,8,1990-10-20
Johor,9,1995-04-24
Johor,10,1999-11-29
Johor,11,2004-03-21
Johor,12,2008-03-08
Johor,13,2013-05-05
Johor,14,2018-05-09
Johor,15,2022-03-12
Kedah,1,1959-05-20
Kedah,2,1964-04-25
Kedah,3,1969-05-10
Kedah,4,1974-08-24
Kedah,5,1978-07-08
Kedah,6,1982-04-22
Kedah,7,1986-08-02
Kedah,8,1990-10-20
Kedah,9,1995-04-24
Kedah,10,1999-11-29
Kedah,11,2004-03-21
Kedah,12,2008-03-08
Kedah,13,2013-05-05
Kedah,14,2018-05-09
Kedah,15,2023-08-12
Kelantan,1,1959-05-20
Kelantan,2,1964-04-25
Kelantan,3,1969-05-10
Kelantan,4,1974-08-24
Kelantan,5,1978-03-11
Kelantan,6,1982-04-22
Kelantan,7,1986-08-02
Kelantan,8,1990-10-20
Kelantan,9,1995-04-24
Kelantan,10,1999-11-29
Kelantan,11,2004-03-21
Kelantan,12,2008-03-08
Kelantan,13,2013-05-05
Kelantan,14,2018-05-09
Kelantan,15,2023-08-12
Melaka,1,1959-05-20
Melaka,2,1964-04-25
Melaka,3,1969-05-10
Melaka,4,1974-08-24
Melaka,5,1978-07-08
Melaka,6,1982-04-22
Melaka,7,1986-08-02
Melaka,8,1990-10-20
Melaka,9,1995-04-24
Melaka,10,1999-11-29
Melaka,11,2004-03-21
Melaka,12,2008-03-08
Melaka,13,2013-05-05
Melaka,14,2018-05-09
Melaka,15,2021-11-20
Negeri Sembilan,1,1959-05-20
Negeri Sembilan,2,1964-04-25
Negeri Sembilan,3,1969-05-10
Negeri Sembilan,4,1974-08-24
Negeri Sembilan,5,1978-07-08
Negeri Sembilan,6,1982-04-22
Negeri Sembilan,7,1986-08-02
Negeri Sembilan,8,1990-10-20
Negeri Sembilan,9,1995-04-24
Negeri Sembilan,10,1999-11-29
Negeri Sembilan,11,2004-03-21
Negeri Sembilan,12,2008-03-08
Negeri Sembilan,13,2013-05-05
Negeri Sembilan,14,2018-05-09
Negeri Sembilan,15,2023-08-12
Pahang,1,1959-05-20
Pahang,2,1964-04-25
Pahang,3,1969-05-10
Pahang,4,1974-08-24
Pahang,5,1978-07-08
Pahang,6,1982-04-22
Pahang,7,1986-08-02
Pahang,8,1990-10-20
Pahang,9,1995-04-24
Pahang,10,1999-11-29
Pahang,11,2004-03-21
Pahang,12,2008-03-08
Pahang,13,2013-05-05
Pahang,14,2018-05-09
Pahang,15,2022-11-19
Perak,1,1959-05-20
Perak,2,1964-04-25
Perak,3,1969-05-10
Perak,4,1974-08-24
Perak,5,1978-07-08
Perak,6,1982-04-22
Perak,7,1986-08-02
Perak,8,1990-10-20
Perak,9,1995-04-24
Perak,10,1999-11-29
Perak,11,2004-03-21
Perak,12,2008-03-08
Perak,13,2013-05-05
Perak,14,2018-05-09
Perak,15,2022-11-19
Perlis,1,1959-05-20
Perlis,2,1964-04-25
Perlis,3,1969-05-10
Perlis,4,1974-08-24
Perlis,5,1978-07-08
Perlis,6,1982-04-22
Perlis,7,1986-08-02
Perlis,8,1990-10-20
Perlis,9,1995-04-24
Perlis,10,1999-11-29
Perlis,11,2004-03-21
Perlis,12,2008-03-08
Perlis,13,2013-05-05
Perlis,14,2018-05-09
Perlis,15,2022-11-19
Pulau Pinang,1,1959-05-20
Pulau Pinang,2,1964-04-25
Pulau Pinang,3,1969-05-10
Pulau Pinang,4,1974-08-24
Pulau Pinang,5,1978-07-08
Pulau Pinang,6,1982-04-22
Pulau Pinang,7,1986-08-02
Pulau Pinang,8,1990-10-20
Pulau Pinang,9,1995-04-24
Pulau Pinang,10,1999-11-29
Pulau Pinang,11,2004-03-21
Pulau Pinang,12,2008-03-08
Pulau Pinang,13,2013-05-05
Pulau Pinang,14,2018-05-09
Pulau Pinang,15,2023-08-12
Sabah,1,1967-04-08
Sabah,2,1971-10-01
Sabah,3,1976-05-01
Sabah,4,1981-03-23
Sabah,5,1985-04-20
Sabah,6,1986-05-04
Sabah,7,1990-07-16
Sabah,8,1994-02-18
Sabah,9,1999-03-12
Sabah,10,2004-03-21
Sabah,11,2008-03-08
Sabah,12,2013-05-05
Sabah,13,2018-05-09
Sabah,14,2020-09-26
Sabah,15,2025-11-29
Sarawak,1,1969-05-10
Sarawak,2,1974-08-24
Sarawak,3,1979-09-15
Sarawak,4,1983-12-28
Sarawak,5,1987-04-15
Sarawak,6,1991-09-27
Sarawak,7,1996-09-07
Sarawak,8,2001-09-27
Sarawak,9,2006-05-20
Sarawak,10,2011-04-16
Sarawak,11,2016-05-07
Sarawak,12,2021-12-18
Selangor,1,1959-05-20
Selangor,2,1964-04-25
Selangor,3,1969-05-10
Selangor,4,1974-08-24
Selangor,5,1978-07-08
Selangor,6,1982-04-22
Selangor,7,1986-08-02
Selangor,8,1990-10-20
Selangor,9,1995-04-24
Selangor,10,1999-11-29
Selangor,11,2004-03-21
Selangor,12,2008-03-08
Selangor,13,2013-05-05
Selangor,14,2018-05-09
Selangor,15,2023-08-12
Terengganu,1,1959-05-20
Terengganu,2,1964-04-25
Terengganu,3,1969-05-10
Terengganu,4,1974-08-24
Terengganu,5,1978-07-08
Terengganu,6,1982-04-22
Terengganu,7,1986-08-02
Terengganu,8,1990-10-20
Terengganu,9,1995-04-24
Terengganu,10,1999-11-29
Terengganu,11,2004-03-21
Terengganu,12,2008-03-08
Terengganu,13,2013-05-05
Terengganu,14,2018-05-09
Terengganu,15,2023-08-12
