party_uid,party,party_name_en,party_name_bm,year_formed,year_end,notes
000-BEBAS,BEBAS,Independent,Bebas,1955,-1,Generic party for independent candidates
001-UMNO,UMNO,United Malays National Organisation,Pertubuhan Kebangsaan Melayu Bersatu,1946,-1,
002-MIC,MIC,Malaysian Indian Congress,Kongres India Se-Malaysia,1946,-1,
003-MCA,MCA,Malaysian Chinese Association,Persatuan Cina Malaysia,1949,-1,
004-PAS,PAS,Pan-Malaysian Islamic Party,Parti Islam Se-Malaysia,1951,-1,
005-LPM,LPM,Labour Party of Malaya,Parti Buruh Malaya,1952,1972,Died off after many members joined with UDP to form GERAKAN
006-PPP,PPP,People's Progressive Party,Parti Progresif Penduduk,1953,2004,Rebranded to myPPP by Kayveas
006-MYPPP,MYPPP,People's Progressive Party,Parti Progresif Penduduk,2004,-1,
007-NAP,NAP,National Association of Perak,Persatuan Kebangsaan Perak,1953,1959,Dissolved after poor election results
008-NEG,NEG,National Party,Parti Negara,1953,1962,Died off after Onn Jaafar's death
009-PR,PR,Malayan People's Party,Partai Ra'ayat Malaya,1955,1965,Renamed to PSRM
009-PSRM,PSRM,Malaysian People's Socialist Party,Parti Sosialis Rakyat Malaysia,1965,1989,Renamed from PR; subsequently renamed to PRM
009-PRM,PRM,Malaysian People's Party,Parti Rakyat Malaysia,1989,-1,Renamed from PSRM; merged with PKN to form PKR in 2003; minority faction revived PRM in 2005
010-PML,PML,Perak Malay League,Liga Melayu Perak,1955,1960,Died off due to poor election results
011-MP,MP,Malaya Party,Parti Malaya,1956,1964,Died off due to poor election results
012-MCC,MCC,Malaysian Ceylonese Congress,Kongres Ceylon Malaysia,1958,-1,Does not compete in elections but is still officially registered
013-SUPP,SUPP,Sarawak United Peoples' Party,Parti Rakyat Bersatu Sarawak,1959,-1,
014-USNO,USNO,United Sabah National Organisation,Pertubuhan Kebangsaan Sabah Bersatu,1961,1996,Merged with BERJAYA to form Sabah branch of UMNO
015-SNAP,SNAP,Sarawak National Party,Parti Kebangsaan Sarawak,1961,2013,Initially de-registered in 2002 due to leadesrship crisis leading to formation of SPDP; upheld by Federal Court and died of for good in 2013
016-UDP,UDP,United Democratic Party,Parti Demokratik Bersatu,1962,1968,Merged with members of LPM and others to form GERAKAN
017-SCA-SBH,SCA,Sabah Chinese Association,Persatuan Cina Sabah,1962,1978,Died off after poor election results
018-PESAKA,PESAKA,Pesaka Sarawak,Parti Pesaka Anak Sarawak,1962,1973,Merged with PBRS-SWK to form PBB
019-SCA-SWK,SCA,Sarawak Chinese Association,Persatuan Cina Sarawak,1962,1973,
020-NCP,NCP,National Convention Party,Parti Perhimpunan Kebangsaan,1963,1966,Founded by Aziz Ishak after expulsion from UMNO; died off after mass arrests of leaders under ISA
021-PETIR,PETIR,People's Action Party,Parti Tindakan Rakyat,1964,1965,Malaysia branch of Singaporean PAP; deregistered after Singapore's expulsion from Malaysia; re-registered as DAP
021-DAP,DAP,Democratic Action Party,Parti Tindakan Demokratik,1965,-1,Founded by ex-PETIR members
022-UPKO,UPKO,United Pasokmomogun Kadazan Organisation,Pertubuhan Pasok-Momogun Kadazan Bersatu,1964,1967,Absorbed into USNO-OLD
025-PCMB,PCMB,United Malaysia Chinese Organisation,Pertubuhan Cina Malaysia Bersatu,1966,1970,
026-GERAKAN,GERAKAN,Malaysian People's Movement Party,Parti Gerakan Rakyat Malaysia,1968,-1,Formed by merger of UDP with part of LPM and others
027-PBRS-SWK,PBRS,Sarawak Bumiputera People's Party,Parti Bumiputera Rakyat Sarawak,1968,1973,Merged with PESAKA to form PBB
028-PEKEMAS,PEKEMAS,Malaysian Social Justice Party,Parti Keadilan Masyarakat Malaysia,1972,1982,Founded by dissatisfied GERAKAN members; died off due to poor election results
029-PBB,PBB,Parti Pesaka Bumiputera Bersatu Sarawak,Parti Pesaka Bumiputera Bersatu Sarawak,1973,-1,Formed by merger of PESAKA and PBRS-SWK
030-PNRS,PNRS,Sarawak People's National Party,Parti Negara Rakyat Sarawak,1974,1991,
031-KITA,KITA,Homeland Revival Movement,Kesatuan Insaf Tanah Air,1974,1985,Founded by ex-members of PAS and GERAKAN; died off due to poor election results
032-IPPP,IPPP,Independent People's Progressive Party,Parti Bebas Progresif Rakyat,1974,1980,
033-UPP,UPP,United People's Party,Parti Rakyat Bersatu,1976,1985,
034-BERJAYA,BERJAYA,Sabah People's United Front,Parti Bersatu Rakyat Jelata Sabah,1976,1991,Merged with USNO-OLD to form Sabah branch of UMNO
035-KIMMA,KIMMA,Malaysian Indian Muslim Congress,Kongres India Muslim Malaysia,1976,-1,Founded by Indian-Muslim faction of MIC to represent Mamak interests
036-BERJASA,BERJASA,Malaysian Islamic Justice Party,Barisan Jemaah Islamiah Se-Malaysia,1977,-1,Founded by CM of Kelantan (Mohamed Nasir) after 1977 Kelantan Emergency
037-PUSAKA,PUSAKA,United Social Gathering Party,Parti Perhimpunan Sosial Bersatu,1977,1983,Absorbed into BERJAYA
038-UMAT,UMAT,Sarawak People's Party,Parti Umat Sarawak,1977,1980,
039-SEDAR,SEDAR,Homeland Consciousness Union,Kesatuan Kesedaran Tanah Air,1978,1985,
040-SAPO,SAPO,Sarawak People's Organisation,Pertubuhan Rakyat Sarawak,1978,1985,
041-PAJAR,PAJAR,Sarawak Natives Party,Parti Anak Jati Sarawak,1978,1985,
042-PASOK,PASOK,United Pasok Nunukragang National Organisation,Pertubuhan Kebangsaan Pasok Nunukragang Bersatu,1978,2008,
043-SUDP,SUDP,United Democratic Sarawak Party,Parti Sarawak Demokratik Bersatu,1978,1991,
044-SDP,SDP,Social Democratic Party,Parti Demokratik Sosial,1978,1986,Founded by Yeap Ghim Guan after leaving DAP; died off after poor election results
045-USPO,USPO,United Sabah People's Organisation,Pertubuhan Rakyat Sabah Bersatu,1978,1985,
046-PPPM,PPPM,Malaysian Workers' Party,Parti Pekerja-Pekerja Malaysia,1978,2015,Founded by Ganga Nayar; dormant since 1986; subsequently rebranded to AMANAH
046-AMANAH,AMANAH,National Trust Party,Parti Amanah Negara,2015,-1,Rebranded from PPPM
047-SCCP,SCCP,Sabah Chinese Consolidated Party,Parti Cina Bersatu Sabah,1980,1989,Died off when majority of members formed LDP
048-HAMIM,HAMIM,Malaysian Muslim People's Party,Parti Hizbul Muslimin Malaysia,1983,1995,Founded by Asri Muda after expulsion from PAS; died off after poor election results
049-PBDS,PBDS,Parti Bansa Dayak Sarawak,Parti Bansa Dayak Sarawak,1983,2004,Founded by Leo Moggie after losing SNAP presidential election; dissolved in 2004 and eventually revived as PBDSB
049-PBDSB,PBDSB,New Sarawak Dayak People's Party,Parti Bansa Dayak Sarawak Baru,2013,-1,Deregistered in 2019 for failure to submit returns to RoS; reinstated in 2020 on appeal
050-PLUS,PLUS,Sarawak United Labour Party,Parti Buruh Bersatu Sarawak,1983,1990,
051-BERSEPADU,BERSEPADU,Sabah United Native People's Party,Parti Bersatu Rakyat Bumiputera Sabah,1984,1990,
052-BERSIH,BERSIH,United Sabah People's Action Party,Parti Tindakan Rakyat Sabah Bersatu,1985,1990,
053-MOMOGUN,MOMOGUN,Parti Momogun Kebangsaan Sabah,Parti Momogun Kebangsaan Sabah,1985,1990,
054-PBS,PBS,Parti Bersatu Sabah,Parti Bersatu Sabah,1985,-1,
055-NASMA,NASMA,Malaysian Nationalist Party,Parti Nasionalis Malaysia,1985,1990,Died off after poor election results
056-PPM,PPM,Malaysian Punjabi Party,Parti Punjabi Malaysia,1986,-1,
057-PCS,PCS,Sabah Chinese Party,Parti Cina Sabah,1986,1990,
058-PERMAS,PERMAS,Sarawak Malaysian People's Association,Persatuan Rakyat Malaysia Sarawak,1987,1991,Founded by Abdul Rahman Ya'akub after Ming Court Affair; died off after poor election results
059-LDP,LDP,Liberal Democratic Party,Parti Demokratik Liberal,1989,-1,Founded by ex-SCCP members
061-PRS-SBH,PRS,Parti Rakyat Sabah,Parti Rakyat Sabah,1989,1991,Founded by James Peter Ongkili after leaving BERJAYA; died natural death after poor election results
062-S46,S46,Spirit of 46 Malay Party,Parti Melayu Semangat 46,1989,1996,Founded by Ku Li and the UMNO Team B; eventually ran out of resources and voted to dissolve; most including Ku Li rejoined UMNO
063-AKAR,AKAR,People's Justice Movement,Angkatan Keadilan Rakyat,1989,1996,Founded by Dusun/Bajau leaders who split from PBS; rebranded to AKAR-BERSATU after leadership crisis
063-AKAR-BERSATU,AKAR-BERSATU,People's United Justice Movement,Angkatan Keadilan Rakyat Bersatu,1996,2001,Rebranded from AKAR; split into UMNO and eventually (after 12 years) PGRS
064-IPF,IPF,All Malaysia Indian Progressive Front,Barisan Kemajuan India SeMalaysia,1990,-1,Founded by Pandithan after expulsion from MIC
