date,state,seat,trigger,notes
1957-10-26,Perak,P.011 Sungei Perak Ulu,resignation,Resigned to take another appointment
1957-11-23,Perak,P.014 Ipoh and Menglembu,resignation,Resigned to take another appointment
1957-12-14,Johor,P.034 Batu Pahat,resignation,Resigned to take another appointment
1959-11-23,Johor,N.05 Plentong,resignation,Resigned to take another appointment
1960-05-18,Perak,P.032 Kampar,voided_by_court,Petition alleging corrupt practices upheld
1960-05-22,Johor,N.15 Sri Lalang,death,
1960-06-08,Perak,N.17 Grik,resignation,Resigned to take another appointment
1960-12-29,Melaka,N.02 Kota Tengah,death,
1961-05-30,Perak,P.026 Telok Anson,death,
1961-06-24,Johor,N.17 Pontian Kechil,death,
1962-02-03,Negeri Sembilan,N.18 Gemas,death,
1962-03-19,Terengganu,P.099 Kuala Trengganu Selatan,death,
1962-06-02,Kelantan,N.18 Rantau Panjang,death,
1962-10-20,Pahang,P.053 Lipis,death,
1963-01-12,Selangor,N.21 Port Swettenham,death,
1963-03-30,Pahang,N.23 Pahang Tua,death,
1963-09-07,Selangor,N.23 Telok Datoh,death,
1963-12-14,Pulau Pinang,N.23 Balik Pulau,death,
1963-12-28,Johor,P.069 Muar Selatan,death,
1964-06-27,Kelantan,P.019 Bachok,death,
1964-09-26,Pahang,N.21 Jelai,death,
1964-10-10,Kelantan,N.02 Tumpat Tengah,death,
1964-10-31,Pulau Pinang,P.033 Seberang Selatan,death,
1965-08-19,Kedah,N.01 Jitra,death,
1965-11-06,Pulau Pinang,N.11 Ayer Itam,death,
1965-12-11,Negeri Sembilan,N.07 Rahang,death,
1966-03-12,Perak,P.041 Krian Laut,death,
1966-03-19,Melaka,N.11 Sungei Bahru,death,
1966-06-04,Perak,P.048 Bruas,death,
1967-01-07,Selangor,N.16 Kampong Bahru,death,
1967-08-14,Pahang,P.059 Raub,death,
1967-08-19,Kelantan,P.021 Pasir Mas Hulu,death,
1967-09-30,Johor,N.26 Tampoi,death,
1967-10-21,Kelantan,P.016 Kelantan Hilir,death,
1968-01-27,Kedah,N.18 Baling Barat,death,
1968-04-06,Kelantan,N.13 Bachok Utara,death,
1968-06-12,Sabah,N.21 Ranau,resignation,
1968-09-07,Johor,N.01 Bukit Serampang,death,
1968-10-19,Johor,P.103 Segamat Utara,death,
1968-11-11,Pahang,P.061 Kuantan,death,
1968-11-30,Kedah,N.12 Padang,death,
1968-12-28,Selangor,N.17 Serdang,resignation,
1971-04-03,Selangor,P.067 Kapar,death,
1971-05-15,Johor,N.04 Bekok,death,
1971-05-22,Kedah,N.16 Yen-Merbok,death,
1971-07-17,Sarawak,N.38 Pelagus,death,
1971-08-21,Terengganu,N.06 Batu Rakit,resignation,
1971-08-28,Kedah,N.21 Sidam,death,
1971-10-14,Sarawak,P.121 Bau-Lundu,resignation,
1971-12-13,Pulau Pinang,N.22 Muda,resignation,
1972-02-26,Kelantan,N.01 Tumpat Barat,death,
1972-04-08,Pahang,P.064 Lipis,resignation,
1972-06-03,Selangor,P.078 Ulu Selangor,death,
1972-07-08,Negeri Sembilan,P.081 Rembau-Tampin,death,
1973-01-20,Kedah,P.007 Kuala Kedah,resignation,
1973-01-27,Sarawak,N.07 Sebandi,resignation,
1973-02-10,Kelantan,N.12 Kota Bharu Tengah,resignation,
1973-08-04,Sabah,N.24 Elopura,death,
1973-09-08,Johor,P.102 Johore Timor,death,
1973-10-22,Johor,N.16 Johore Lama,death,
1973-11-03,Selangor,N.09 Kajang,death,
1973-11-17,Terengganu,N.07 Kuala Nerus,death,
1973-12-15,Sarawak,N.03 Kuching Barat,resignation,
1974-01-01,Sarawak,N.17 Engkilili-Skrang,resignation,
1974-01-12,Sarawak,P.135 Rajang,death,
1974-03-09,Kelantan,N.23 Pasir Puteh Tengah,death,
1974-04-06,Perlis,N.04 Bandar Kangar,death,
1974-05-18,Melaka,N.11 Sungei Bahru,death,
1974-06-15,Johor,N.06 Parit Bakar,death,
1974-12-18,Perak,N.07 Alor Pongsu,death,
1975-04-12,Kedah,N.20 Merbok,death,
1975-06-14,Selangor,P.077 Selayang,death,
1975-07-09,Sabah,N.19 Keningau,death,
1975-12-10,Sabah,N.15 Labuan,resignation,
1975-12-10,Sabah,N.27 Kuala Kinabatangan,resignation,
1976-02-21,Pahang,P.071 Pekan,death,
1976-05-08,Terengganu,P.034 Kemaman,death,
1976-06-12,Kedah,N.23 Lunas,death,
1976-07-15,Sabah,N.15 Kiulu,death,
1976-07-15,Sabah,N.31 Papar,death,
1976-07-15,Sabah,N.20 Kota Kinabalu,death,
1976-07-31,Sabah,N.21 Tanjong Aru,death,
1976-07-31,Sabah,N.23 Moyog,death,
1976-08-07,Sarawak,N.05 Semariang,death,
1976-10-30,Johor,N.13 Sri Lalang,death,
1977-01-29,Sabah,P.125 Kimanis,death,
1977-02-05,Johor,N.25 Bandar Penggaram,death,
1977-02-24,Johor,P.108 Panti,death,
1977-06-11,Sarawak,N.31 Balingian,resignation,Resigned to take another appointment
1977-06-16,Pulau Pinang,N.02 Bertam,death,
1977-07-30,Sabah,P.127 Keningau,resignation,
1977-11-05,Johor,N.16 Parit Jawa,death,
1977-11-19,Perak,N.02 Kenering,resignation,
1977-12-20,Sabah,N.04 Matunggong,resignation,
1977-12-31,Negeri Sembilan,N.04 Jempol,death,
1978-01-28,Johor,P.112 Pontian,death,
1978-05-06,Selangor,N.30 Morib,voided_by_court,Petition alleging corrupt practices upheld
1978-06-10,Kelantan,N.07 Tendong,resignation,Resigned to take another appointment
1978-07-29,Sabah,N.04 Matunggong,resignation,
1978-07-29,Sabah,N.22 Inanam,resignation,
1978-08-19,Perlis,N.01 Titi Tinggi,death,
1978-09-16,Sarawak,N.35 Machan,death,
1978-12-09,Pulau Pinang,N.23 Kampong Kolam,voided_by_court,
1979-01-20,Sarawak,N.08 Muara Tuang,death,
1979-03-17,Sarawak,N.04 Kuching Timor,death,
1979-07-30,Terengganu,N.01 Kuala Besut,death,
