slug,date,state,seat
p001-padang-besar-perlis,2022-11-19,Perlis,P.001 Padang Besar
p001-padang-besar-perlis,2018-05-09,Perlis,P.001 Padang Besar
p001-padang-besar-perlis,2013-05-05,Perlis,P.001 Padang Besar
p001-padang-besar-perlis,2008-03-08,Perlis,P.001 Padang Besar
p001-padang-besar-perlis,2004-03-21,Perlis,P.001 Padang Besar
p001-padang-besar-perlis,1999-11-29,Perlis,P.001 Padang Besar
p001-padang-besar-perlis,1995-04-24,Perlis,P.001 Padang Besar
p001-padang-besar-perlis,1990-10-20,Perlis,P.001 Kangar
p001-padang-besar-perlis,1986-08-02,Perlis,P.001 Kangar
p001-padang-besar-perlis,1982-04-22,Perlis,P.001 Kangar
p001-padang-besar-perlis,1978-07-08,Perlis,P.001 Kangar
p001-padang-besar-perlis,1974-08-24,Perlis,P.001 Kangar
p001-padang-besar-perlis,1969-05-10,Perlis,P.001 Perlis Utara
p001-padang-besar-perlis,1964-04-25,Perlis,P.001 Perlis Utara
p001-padang-besar-perlis,1959-05-20,Perlis,P.001 Perlis Utara
p001-padang-besar-perlis,1955-07-25,Perlis,P.052 Perlis
p002-kangar-perlis,2022-11-19,Perlis,P.002 Kangar
p002-kangar-perlis,2018-05-09,Perlis,P.002 Kangar
p002-kangar-perlis,2013-05-05,Perlis,P.002 Kangar
p002-kangar-perlis,2008-03-08,Perlis,P.002 Kangar
p002-kangar-perlis,2004-03-21,Perlis,P.002 Kangar
p002-kangar-perlis,1999-11-29,Perlis,P.002 Kangar
p002-kangar-perlis,1995-04-24,Perlis,P.002 Kangar
p002-kangar-perlis,1990-10-20,Perlis,P.001 Kangar
p002-kangar-perlis,1986-08-02,Perlis,P.001 Kangar
p002-kangar-perlis,1982-04-22,Perlis,P.001 Kangar
p002-kangar-perlis,1978-07-08,Perlis,P.001 Kangar
p002-kangar-perlis,1974-08-24,Perlis,P.001 Kangar
p002-kangar-perlis,1969-05-10,Perlis,P.001 Perlis Utara
p002-kangar-perlis,1964-04-25,Perlis,P.001 Perlis Utara
p002-kangar-perlis,1959-05-20,Perlis,P.001 Perlis Utara
p002-kangar-perlis,1955-07-25,Perlis,P.052 Perlis
p003-arau-perlis,2022-11-19,Perlis,P.003 Arau
